Street or Road Name,Secondary street name,1: Are you in favour of reducing traffic in Littlemore?,2: How many journeys per week do you make - CAR - BEFORE LTN,2: How many journeys per week do you make - CAR - AFTER LTN,2: How many journeys per week do you make - MOTORBIKE - BEFORE LTN,2: How many journeys per week do you make - MOTORBIKE - AFTER LTN,2: How many journeys per week do you make - VAN - BEFORE LTN,2: How many journeys per week do you make - VAN - AFTER LTN,2: How many journeys per week do you make - BUS - BEFORE LTN,2: How many journeys per week do you make - BUS - AFTER LTN,2: How many journeys per week do you make - FOOT - BEFORE LTN,2: How many journeys per week do you make - FOOT - AFTER LTN,2: How many journeys per week do you make - WHEELCHAIR etc - BEFORE LTN,2: How many journeys per week do you make - WHEELCHAIR etc - AFTER LTN,2: How many journeys per week do you make - BIKE - BEFORE LTN,2: How many journeys per week do you make - BIKE - AFTER LTN,2: How many journeys per week do you make - SCOOTER - BEFORE LTN,2: How many journeys per week do you make - SCOOTER - AFTER LTN,"3: If you drive, the reasons for this are:","4. Overall, the LTN's impact on you has been:",5. Location of traffic filters: Church Hill Road,5. Location of traffic filters: Beauchamp Lane,5. Location of traffic filters: Littlemore Road,5. Location of traffic filters: Mayfair Road,5. Location of traffic filters: Liddell Road,5. Location of traffic filters: Bartholomew Road,6: Do you think the current Cowley LTNs should be,7:  What is the biggest benefit of the LTNs?,8: What is the biggest problem of the LTNs?,9: Have you filled in the county's online LTN consultation?,10. Do you have any other comments or ideas to improve traffic in our area?
Alice Smith Square,,No,6,6,,,,,1,1,3,3,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Can't get anywhere; sitting in traffic; traffic displacement; sometimes takes an hour to do 15 min drive to Cowley,No,Remove LTNs
Alice Smith Square,,No,2,2,,,,,,,5,5,,,,,,,Caring responsibilities,5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Disrupt deliveries; traffic displacement,Yes,"- Remove eScooters
- Raise pavements at T junctions to stop bikes and scooters on the pavements crossing roads at speed"
Alice Smith Square,,No,20,20,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",4,No opinion,No opinion,Remove,No opinion,No opinion,Agree,Removed,Encourages people to walk more,Causes a lot of traffic,Yes,
Alice Smith Square,,No,7,2,,,,,,,,,,,,,,,"Work, Shopping, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None if you live in Littlemore,Littlemore cutoff; emergency service access; Newman Road junction more dangerous,No,
Alice Smith Square,,,20,20,,,,,,,,,,,,,,,"Work, Shopping, Gyms",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Traffic displacement; emergency service access; cut off Littlemore,No,Remove LTNs
Alice Smith Square,,No,4,2,,,,,,,2,4,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,"Uncomfortable, trapped",No,More parking
Alice Smith Square,,,,,,,,,,,,,,,,,,,"Shopping, Health appointments",,Remove,Agree,Remove,Agree,Agree,Remove,,None,,No,
Alice Smith Square,,No,14,14,,,,,,,2,2,,,,,,,"Work, Shopping, Health appointments, School run, Kids clubs",5,No opinion,Remove,Remove,Remove,Remove,Remove,Removed,Reduced traffic for those who live there,Traffic displacement; longer journeys; Littlemore cut off; more wear and tear on main roads; fuel consumption; Oxford Road busier than ever despite traffic calming; right turn out of Newman Road impossible and dangerous; no consultation with Littlemore residents,No,
Alice Smith Square,,Yes,yes,yes,,,,,,,,,yes,yes,yes,yes,,,"Work, Shopping",5,No opinion,Remove,Remove,Remove,Remove,Remove,Removed,None,Too much traffic,No,
Alice Smith Square,,No,10,10,,,10,10,,,,,,,,,,,"Work, Shopping, Caring responsibilities",5,No opinion,No opinion,Remove,Remove,No opinion,Remove,Removed,None,Traffic displacement; more traffic and pollution on main roads,,"- Speed cameras
- 20 mph limits
- One way system
- Speed humps"
Alice Smith Square,,Yes,20,20,,,,,,,1,1,,,,,,,"Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Longer journeys; increased traffic on ring road and other main roads; difficult to access Cowley Centre,Yes,Make public transport cheaper and more reliable
Alice Smith Square,,No,10,10,,,10,10,,,,,,,,,,,"Work, Shopping, Health appointments, Caring responsibilities",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Longer journeys,No,
Alice Smith Square,,Yes,2,2,,,,,,,1,2,,,5,5,,,"Shopping, Health appointments, Caring responsibilities",,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Less cars; safer for children and cyclists,No camera on Bartholomew Road,Yes,"- Install bus gate camera
- More cycle lanes in Littlemore / Cowley
- Remove free parking from Littlemore / Cowley
- LTN in Alice Smith Square!
- Improve walking path between Alice Smith Square and the Ring Road (next to the school)"
Alice Smith Square,,No opinion,,,,,,,,,5 days a week,5 days a week,,,,,,,Don't drive,2,Agree,Agree,Agree,Agree,Agree,Agree,Kept as is,Reduce traffic and keep pedestrians safe,Effect on people who drive,No,Stop pavement parking on Cowley Road near Post Office
Alice Smith Square,,No,7,7,,,,,,,10+,10+,,,,,,,"Work, Shopping, Gyms, Health appointments",5,No opinion,No opinion,Remove,No opinion,No opinion,Remove,Kept with alterations,None,All traffic on single road,Yes,
Alice Smith Square,,No,4,4,,,,,0.25,0.25,2,2,,,,,,,"Shopping, Health appointments",5,No opinion,No opinion,Remove,No opinion,No opinion,Remove,,None,Traffic displacement; causes congestion; Littlemore feels cutoff; no consultation; main roads cut off,Yes,
Alice Smith Square,,No,every day,every day,,,,,,,,,,,,,,,"Work, Shopping, Gyms, Health appointments",5,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Makes other roads extremely busy,No,"- Parking permits
- More speed bumps"
Alice Smith Square,,Yes,every day,every day,,,,,,,,,,,,,,,"Shopping, Health appointments",,Remove,Remove,Remove,Remove,Remove,Remove,Removed,None,Cause traffic jams,No,Remove LTNs
