pcd7,pcd8,pcds,dointr,doterm,usertype,oa11cd,lsoa11cd,msoa11cd,ladcd,lsoa11nm,msoa11nm,ladnm,ladnmw
"OX4 4FW","OX4  4FW","OX4 4FW","201005","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4GG","OX4  4GG","OX4 4GG","201012","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4GQ","OX4  4GQ","OX4 4GQ","201506","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4LD","OX4  4LD","OX4 4LD","198001","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4LJ","OX4  4LJ","OX4 4LJ","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4LP","OX4  4LP","OX4 4LP","201810","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4LS","OX4  4LS","OX4 4LS","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4LU","OX4  4LU","OX4 4LU","198001","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4LY","OX4  4LY","OX4 4LY","198001","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NA","OX4  4NA","OX4 4NA","198001","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NB","OX4  4NB","OX4 4NB","198001","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4ND","OX4  4ND","OX4 4ND","198001","","0","E00145465","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NE","OX4  4NE","OX4 4NE","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NF","OX4  4NF","OX4 4NF","198001","","0","E00145475","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NG","OX4  4NG","OX4 4NG","198001","","0","E00145475","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NH","OX4  4NH","OX4 4NH","198001","","0","E00145475","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NJ","OX4  4NJ","OX4 4NJ","198001","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NL","OX4  4NL","OX4 4NL","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NN","OX4  4NN","OX4 4NN","198001","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NP","OX4  4NP","OX4 4NP","198001","","0","E00145475","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NQ","OX4  4NQ","OX4 4NQ","198001","","0","E00145475","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NR","OX4  4NR","OX4 4NR","198001","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NS","OX4  4NS","OX4 4NS","198001","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NT","OX4  4NT","OX4 4NT","198001","","0","E00145474","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NW","OX4  4NW","OX4 4NW","198001","","0","E00145461","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4NY","OX4  4NY","OX4 4NY","200510","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
"OX4 4PJ","OX4  4PJ","OX4 4PJ","198001","","0","E00145477","E01028552","E02005955","E07000178","Oxford 016A","Oxford 016","Oxford",""
