street,num_respondents
Alice Smith Square,36
Astrop Lane,7
Bampton Close,10
Barberi Close,6
Bodley Road,16
Broadfields,31
Cardinal Close,13
Carpenter Close,5
Champion Way,11
Chapel Lane,6
Chestnut Close,5
College Lane,8
Compass Close,9
"Cowley Road, Littlemore",18
David Nicholls Close,4
Dudgeon Drive,21
Elm Tree Close,6
Fairlie Road,14
Grange Road,11
Herschel Crescent,1
Hillsale Piece,5
Hillsborough Close,6
Lakefield Road,19
Lanham Way,2
Lawn Upton Close,2
Littlemore Road,20
Long Lane,23
Long Wall,10
Mandelbrote Drive,19
Marlborough Close,1
Mayfair Road,28
Medhurst Way,1
Minchery Road,22
Newman Road,14
Oxford Road,30
Pipley Furlong,11
Pulker Close,7
Railway Lane,4
Redmoor Close,9
Sandford Road,12
Sandy Lane West,4
Spring Lane,22
St Nicholas Road,19
