street,count,inside_ltn,borders_ltn,in_littlemore_parish,cul_de_sac,postcode,latitude,longitude,driving_distance_to_ltn_meters,driving_distance_to_templars_before,driving_distance_to_templars_after
Addison Drive,19,1,0,1,0,OX4 3UD,51.726361835714300,-1.218137538365340,338.8,772,2131.4
Alice Smith Square,95,0,0,1,1,OX4 4NF,51.72083,-1.21746,1197.6,1636,2622.7
Astrop Lane,18,0,0,1,1,OX4 4FW,51.71994376764710,-1.2267741043075000,1336.4,1810,2477.3
Bampton Close,30,0,0,1,1,OX4 6NN,51.72383,-1.2114,1807.2,1860,1889.2
Barberi Close,24,0,0,1,1,OX4 4GF,51.7213604,-1.2218304,1005.5,1460,2350.2
Bodley Road,89,1,0,1,0,OX4 3UA,51.72589603214290,-1.2154698567708700,559.4,993,2352
Broadfields,53,0,0,1,1,OX4 6LP,51.72257,-1.20963,1945.1,1645,1649
Brocklesby Road,18,0,0,1,1,OX4 4QJ,51.722163735,-1.2296005343591500,1551.7,2358,2692.5
Cardinal Close,79,0,0,1,1,OX4 3UE,51.72508280217390,-1.2222701628184500,655.7,1102,1931.8
Carpenter Close,15,0,0,1,1,OX4 4PS,51.71903,-1.21833,1419.7,1845,2821.9
Champion Way,50,0,0,1,1,OX4 4NR,51.72332,-1.22043,743.9,1191,2169
Chapel Lane,24,0,0,1,0,OX4 4QB,51.72072521785710,-1.2265352396654000,1252.6,1729,2393.5
Chestnut Close,12,0,1,1,0,OX4 3TG,51.725703100000000,-1.2186096844809600,523.3,977,2038
College Lane,20,0,0,1,1,OX4 4LQ,51.7223652,-1.2206338423984300,889.2,1244,2404.1
Compass Close,14,1,0,0,1,OX4 3SX,51.72888527333330,-1.2192486400368100,52.6,459,2376.1
"Cowley Road, Littlemore",114,0,0,1,0,OX4 4JY,51.72256,-1.22117,765.7,1215,2190.9
David Nicholls Close,11,0,0,1,1,OX4 4QX,51.72020753846150,-1.2237010612280600,1218.9,1693,2359.7
Denny Gardens,48,0,0,1,1,OX4 4GQ,51.71943,-1.21416,1717.4,2049,3119.6
Dudgeon Drive,34,0,0,1,1,OX4 4QL,51.72184,-1.22506,1182.9,1579,2159.6
Eastern Avenue,64,1,0,1,1,OX4 4QS,51.726180396666700,-1.221644843849200,884.6,1070,1720.1
Elm Tree Close,10,0,0,1,1,OX4 4LL,51.72406,-1.22164,679.8,1131,2104.9
Faber Close,8,0,0,1,1,OX4 4NA,51.71926,-1.21632,1534.3,1888,2936.4
Fairlie Road,16,1,0,0,0,OX4 3SW,51.7271676359375,-1.2211947889587200,1887.2,800,1843.7
Giles Close,11,0,0,1,1,",OX4 4NU",51.72225,-1.2202,1007.1,1452,2432.3
Giles Road,63,0,0,1,0,OX4 4NN,51.72243,-1.21913,896,1341,2321.2
Goodey Close,16,0,1,1,1,OX4 3TG,51.725703100000000,-1.2186096844809600,523.3,977,2038
Grange Road,32,0,0,1,0,OX4 4LS,51.71912395,-1.2217202548490500,1308.5,1765,2710.7
Gwyneth Road,35,0,0,1,1,OX4 4QH,51.721231072857100,-1.2286592091695800,1608.3,2089,2749.1
Hardings Close,16,0,0,1,1,OX4 4NT,51.72382,-1.21997,862.3,1312,2287.5
Herschel Crescent,225,1,0,1,0,OX4 3TS,51.72568041627910,-1.217282396750330,477.6,908,2308.7
Hillsale Piece,17,0,0,1,1,OX4 4GG,51.7211,-1.22115,1073.2,1523,2418
Hillsborough Close,22,1,0,1,1,OX4 3SN,51.726715909090900,-1.2227144600734200,1926.7,938,1883.3
Kempson Crescent,27,0,0,1,1,OX4 4QE,51.721821900000000,-1.2266542428496400,1412.9,1760,2553.8
Lakefield Road,51,0,0,1,1,OX4 4LZ,51.71835,-1.2205,1506.7,1932,2908.8
Lanham Way,9,0,0,1,1,OX4 4QG,51.719758050000000,-1.2244430477870500,1261.6,1736,2402.5
Lawn Upton Close,27,0,0,1,1,OX4 4QF,51.7201144189908,-1.2231257960089500,1235.9,1700,2376.7
Littlemore Road,49,1,0,0,0,OX4 3ST,51.72925779166670,-1.2184666349802200,0.0,412,411.8
Long Lane,72,0,1,1,1,OX4 3TN,51.72468841,-1.2165336466846800,640.6,1065,2155.3
Long Wall,12,0,0,1,1,OX4 4PG,51.72362,-1.22235,790.9,1250,2216.1
Mandelbrote Drive,139,0,0,1,1,OX4 4XG,51.71752,-1.22511,2139.7,2187,3280.5
Marlborough Close,53,0,0,1,1,OX4 4PH,51.72212,-1.22277,951.8,1404,2351.8
Mayfair Road,55,1,0,0,0,OX4 3SP,51.72769720000000,-1.219642154517000,1774.4,642,1730.9
Medhurst Way,82,0,0,1,1,OX4 4NY,51.71897,-1.22418,1390.1,1847,2531
Milvery Way,2,0,0,1,1,OX4 4GY,51.72373,-1.22313,973.2,1327,1950
Minchery Cottages,6,0,0,1,0,OX4 4LT,51.7186,-1.21912,1425.7,1850,2827.8
Minchery Road,91,0,0,1,0,OX4 4LT,51.7186,-1.21912,1425.7,1850,2827.8
Newman Road,34,0,1,1,0,OX4 3UJ,51.72551266323530,-1.2218810923085600,552.8,993,1770.7
Northfield Close,34,0,0,1,1,OX4 4NH,51.72182,-1.21826,1101.8,1537,2526.9
Orchard Way,7,1,0,1,0,OX4 3QF,51.726795085714300,-1.2164570989214400,395.8,831,2302.5
Oxford Road,64,0,0,1,0,OX4 4PF,51.72273,-1.22426,1018,1398,1994.8
Pipley Furlong,17,0,0,1,1,OX4 4JW,51.72257,-1.22052,801.4,1249,2226.6
Priory Road,87,0,0,1,0,OX4 4NB,51.7199,-1.21664,1405.9,1840,2808.1
Pulker Close,18,1,0,0,1,OX4 3LG,51.72933623333330,-1.21919047095788,2607.6,406,405.8
Rahere Road,11,1,0,1,0,OX4 3QG,51.72769156052630,-1.2163926400603600,282.3,716,2416
Railway Lane,8,0,0,1,0,OX4 4PY,51.720682225,-1.225891672097980,1188.2,1660,2329
Redmoor Close,15,0,0,1,1,OX4 4PT,51.71964,-1.21908,1325.9,1750,2728
Sandford Road,17,0,0,1,0,OX4 4PU,51.72021388860140,-1.2251523753122800,1156.4,1626,2297.2
Sandy Lane West,7,0,0,1,0,OX4 6NR,51.72315,-1.21076,1790.2,1654,1650.8
Sheldon Way,13,1,0,1,0,OX4 3TR,51.72500785000000,-1.2165483780604400,672,1034,2186.7
Spring Lane,35,0,0,1,1,OX4 6LF,51.72209,-1.21087,1877.1,1849,1861.3
St Mary's Close,6,0,0,1,1,OX4 4PJ,51.72062,-1.22203,1053.2,1502,2398
St Nicholas Road,89,0,0,1,0,OX4 4PN,51.72101,-1.22023,1151.7,1598,2605.8
Swinbourne Road,27,0,0,1,1,OX4 4PQ,51.72301,-1.22255,1106.8,1487,2083.6
Thompson Terrace,47,0,0,1,0,OX4 4QD,51.72144447616150,-1.2276176587975700,1365.9,1850,2506.7
Upton Close,11,0,0,1,1,OX4 4NP,51.7222,-1.21861,925.3,1430,2350.5
Van Diemans Lane,80,1,0,1,1,OX4 3QA,51.72734051250000,-1.2173883841197800,399.9,836,2420.6
Vicarage Close,45,0,0,1,1,OX4 4PL,51.72028,-1.22138,1123.9,1584,2468.7
