street,count
Herschel Cresent,225
Bodley Road,89
Rahere Road,11
Orchard Way,7
Sheldon Way,13
Long Lane,72
Goodey Close,16
Chestnut Close,12
Giles Road,63
Gile Close,11
Eastern Avenue,64
Medhurst Way,82
Lawn Upton Close,27
David Nicholls Close,11
Sandford Road,17
Lanham Way,9
College Lane,20
Pipley Furlong,17
Railway Lane,8
Astrop Close,18
Chapel Lane,24
Kempson Crescent,27
Brocklesby Road,18
Gwyneth Road,35
Malborough Close,53
Swinbourne Road,27
Van Diemans Lane,80
Dudgeon Drive,34
Redmoor Close,15
Spring Lane,35
Sandy Lane West,7
Bampton Close,30
Broadfields,53
Oxford Road,64
Milvery Way,2
Elm Tree Close,10
Cowley Road,114
Cardinal House,79
Long Wall,12
Alice Smith House,95
Giles Close,11
Upton Close,11
Newman Road,34
Hillsborough Close,22
Fairlie Road,16
Addison Drive,19
Champion Way,50
Hardings Close,16
Barneri Close,24
Hillsale Piece,17
Vicarage Close,45
Northfield Close,34
Thompson Terrace,47
Priory Road,87
Denny Gardens,48
Minchery Cottages,6
Faber Close,8
Minchery Road,91
Grange Road,32
St Nicholas Road,89
St Mary's Close,6
Carpenter Close,15
Lakefield Road,51
